Td 	 Time	RES_WIND	RES_SOLAR	RES_HYDRO	ADO	ULP	LPG	WOOD	HYDRO	THERMAL	IPP_SOLAR	PV	WIND_ONSHORE	HYDRO_RIVER	GRID	BESS_Pin	BESS_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	END_USE	
 1 	 11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 19	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 23	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 24	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 2 	 1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 2 	 2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 2 	 3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
